时间,源MAC,源IP,目标MAC,目标IP,帧长度（字节）
2020-03-23 22:24:22,B4-DE-DF-B7-46-FE,40.81.185.240,04-D4-C4-4F-39-BE,192.168.18.3,102
2020-03-23 22:24:22,04-D4-C4-4F-39-BE,192.168.18.3,B4-DE-DF-B7-46-FE,192.168.110.105,94
2020-03-23 22:24:22,04-D4-C4-4F-39-BE,192.168.18.3,B4-DE-DF-B7-46-FE,119.60.73.144,94
2020-03-23 22:24:22,04-D4-C4-4F-39-BE,192.168.18.3,B4-DE-DF-B7-46-FE,40.81.185.240,102
2020-03-23 22:24:22,04-D4-C4-4F-39-BE,192.168.18.3,B4-DE-DF-B7-46-FE,119.60.73.144,98
2020-03-23 22:24:22,B4-DE-DF-B7-46-FE,119.60.73.144,04-D4-C4-4F-39-BE,192.168.18.3,122
2020-03-23 22:24:22,B4-DE-DF-B7-46-FE,119.60.73.144,04-D4-C4-4F-39-BE,192.168.18.3,126
2020-03-23 22:24:22,20-6B-E7-C9-E5-1B,192.168.1.1,01-00-5E-7F-FF-FA,239.255.255.250,308
2020-03-23 22:24:22,20-6B-E7-C9-E5-1B,192.168.1.1,01-00-5E-7F-FF-FA,239.255.255.250,317
2020-03-23 22:24:22,20-6B-E7-C9-E5-1B,192.168.1.1,01-00-5E-7F-FF-FA,239.255.255.250,380
2020-03-23 22:24:22,20-6B-E7-C9-E5-1B,192.168.1.1,01-00-5E-7F-FF-FA,239.255.255.250,317
2020-03-23 22:24:22,20-6B-E7-C9-E5-1B,192.168.1.1,01-00-5E-7F-FF-FA,239.255.255.250,356
2020-03-23 22:24:22,20-6B-E7-C9-E5-1B,192.168.1.1,01-00-5E-7F-FF-FA,239.255.255.250,317
2020-03-23 22:24:22,20-6B-E7-C9-E5-1B,192.168.1.1,01-00-5E-7F-FF-FA,239.255.255.250,376
2020-03-23 22:24:22,20-6B-E7-C9-E5-1B,192.168.1.1,01-00-5E-7F-FF-FA,239.255.255.250,372
2020-03-23 22:24:22,20-6B-E7-C9-E5-1B,192.168.1.1,01-00-5E-7F-FF-FA,239.255.255.250,388
2020-03-23 22:24:22,20-6B-E7-C9-E5-1B,192.168.1.1,01-00-5E-7F-FF-FA,239.255.255.250,370
2020-03-23 22:24:22,04-D4-C4-4F-39-BE,192.168.18.3,B4-DE-DF-B7-46-FE,42.247.7.163,122
2020-03-23 22:24:22,04-D4-C4-4F-39-BE,192.168.18.3,B4-DE-DF-B7-46-FE,197.210.47.219,55
2020-03-23 22:24:22,04-D4-C4-4F-39-BE,192.168.18.3,B4-DE-DF-B7-46-FE,218.28.135.8,122
2020-03-23 22:24:22,04-D4-C4-4F-39-BE,192.168.18.3,B4-DE-DF-B7-46-FE,103.85.85.187,122
2020-03-23 22:24:22,04-D4-C4-4F-39-BE,192.168.18.3,B4-DE-DF-B7-46-FE,58.20.250.149,122
2020-03-23 22:24:23,04-D4-C4-4F-39-BE,192.168.18.3,B4-DE-DF-B7-46-FE,197.210.47.118,55
2020-03-23 22:24:23,04-D4-C4-4F-39-BE,168.56.57.64,B4-DE-DF-B7-46-FE,228.233.239.224,75
2020-03-23 22:24:24,B4-DE-DF-B7-46-FE,0.33.0.0,04-D4-C4-4F-39-BE,0.0.0.0,86
2020-03-23 22:24:24,04-D4-C4-4F-39-BE,192.168.18.3,B4-DE-DF-B7-46-FE,111.221.29.254,254
2020-03-23 22:24:24,B4-DE-DF-B7-46-FE,111.221.29.254,04-D4-C4-4F-39-BE,192.168.18.3,108
2020-03-23 22:24:24,04-D4-C4-4F-39-BE,192.168.18.3,B4-DE-DF-B7-46-FE,111.221.29.254,6581
2020-03-23 22:24:24,B4-DE-DF-B7-46-FE,40.81.185.240,04-D4-C4-4F-39-BE,192.168.18.3,102
2020-03-23 22:24:24,04-D4-C4-4F-39-BE,192.168.18.3,B4-DE-DF-B7-46-FE,192.168.110.105,94
2020-03-23 22:24:24,04-D4-C4-4F-39-BE,192.168.18.3,B4-DE-DF-B7-46-FE,119.60.73.144,94
2020-03-23 22:24:24,04-D4-C4-4F-39-BE,192.168.18.3,B4-DE-DF-B7-46-FE,40.81.185.240,102
2020-03-23 22:24:24,04-D4-C4-4F-39-BE,192.168.18.3,B4-DE-DF-B7-46-FE,119.60.73.144,98
2020-03-23 22:24:24,B4-DE-DF-B7-46-FE,119.60.73.144,04-D4-C4-4F-39-BE,192.168.18.3,122
2020-03-23 22:24:24,B4-DE-DF-B7-46-FE,119.60.73.144,04-D4-C4-4F-39-BE,192.168.18.3,126
2020-03-23 22:24:24,B4-DE-DF-B7-46-FE,111.221.29.254,04-D4-C4-4F-39-BE,192.168.18.3,66
2020-03-23 22:24:24,04-D4-C4-4F-39-BE,192.168.18.3,B4-DE-DF-B7-46-FE,111.221.29.254,1494
